sample,t_s,x_est,y_est,vx_est,vy_est,speed_px_s,azimuth_deg,nav_status,terrain,radar_raw,radar_filtered,baro_filtered,hyp_score,last_corr,last_rough,position_uncertainty_px,velocity_uncertainty_px_s,solution_confidence,lon_est,lat_est,v_east_m_s,v_north_m_s,speed_m_s,course_deg,x_true,y_true,lon_true,lat_true,err_px,err_m,x_raw,y_raw,final_fix_corr,final_fix_shift_px
1929,192.9,678.5403746543004,307.50794475996497,1.3407131553825784,0.14964294854284702,1.3490384638936381,96.36867712175592,LOCKED,398.0964029536542,1101.8,1101.9035970463458,1500.0,20.627727770268063,0.9216174483299255,1.771325496295545,5.695281255945262,0.15309743186631308,0.8258165518442789,98.29140009295953,61.35138669312223,19.876401988966265,-4.627292508830481,20.40791983493812,103.10521975146179,678.91,309.2,98.29150276666667,61.350916677777775,1.731956648277742,52.60828368757288,678.0026570669411,307.0822362267043,,
1930,193.0,678.6744423099831,307.52293870895693,1.3406399582694977,0.15023603129686844,1.3490316389205532,96.39405580138384,LOCKED,397.82288688557924,1102.9,1102.1771131144208,1500.0,20.627727770268063,0.9216174483299255,1.771325496295545,5.706520863393907,0.15326063957866148,0.8258165518442789,98.291437333975,61.3513825281364,19.875319468370055,-4.645631945546498,20.411031824561242,103.15604857412325,679.04,309.21,98.29153887777778,61.350913899999995,1.7262121029775939,52.44843665913403,678.1350704141748,307.086376851446,,
1931,193.1,678.808502352995,307.5379915974602,1.3405609019688136,0.15082173876764543,1.3490184315910347,96.41915127556626,LOCKED,397.2573562305863,1102.0,1102.7426437694137,1500.0,20.627727770268063,0.9216174483299255,1.771325496295545,5.717779457171404,0.15342367367541548,0.8258165518442789,98.29147457287584,61.35137834677848,19.874150093960793,-4.66374332211508,20.414023212778385,103.20629438965153,679.18,309.22,98.29157776666668,61.35091112222222,1.7225454327665435,52.30222892341759,678.2674837614086,307.0905174761877,,
1932,193.2,678.9425541928964,307.55310268663993,1.3404758960597436,0.1514000448274203,1.3489987403592776,96.44396322554496,LOCKED,396.89174024808904,1103.3,1103.108259751911,1500.0,20.627727770268063,0.9216174483299255,1.771325496295545,5.729057012617834,0.1535865347094607,0.8258165518442789,98.29151180949803,61.35137414925371,19.872892525060674,-4.681625830607897,20.41689197038637,103.25595704115494,679.31,309.22,98.29161387777778,61.35091112222222,1.7069162470505324,51.83123395023439,678.3998971086423,307.0946581009294,,
1933,193.3,679.0765972301888,307.5682712350143,1.340384849787162,0.15197092265961049,1.3489724633486653,96.46849130408634,LOCKED,397.12645140765903,1103.0,1102.873548592341,1500.0,20.627727770268063,0.9216174483299255,1.771325496295545,5.740353505078996,0.15374922323075452,0.8258165518442789,98.29154904367506,61.35136993576805,19.87154541603374,-4.699278641796622,20.419636063719096,103.3050363130526,679.44,309.23,98.29164998888889,61.35090834444444,1.7010008999078725,51.66601421665444,678.5323104558761,307.0987987256711,,
1934,193.4,679.2106308562812,307.5834964983853,1.3402876720626002,0.15253434475916727,1.3489394983519805,96.49273513529766,LOCKED,397.68113136017655,1102.2,1102.3188686398234,1500.0,20.627727770268063,0.9216174483299255,1.771325496295545,5.751668909907171,0.15391173978634765,0.8258165518442789,98.29158627523786,61.35136570652822,19.870107416300705,-4.716700905164028,20.42225345460445,103.35353193066828,679.58,309.23,98.29168887777779,61.35090834444444,1.6874262488065033,51.20718906119806,678.6647238031098,307.1029393504128,,
1935,193.5,679.3446544534576,307.5987777297699,1.340184271465343,0.1530902829330871,1.3488997428317735,96.51669431444486,LOCKED,398.0541141433282,1102.0,1101.9458858566718,1500.0,20.627727770268063,0.9216174483299255,1.771325496295545,5.76300320246186,0.1540740849204057,0.8258165518442789,98.29162350401485,61.351361461741725,19.868577170355177,-4.733891748919794,20.4247421003265,103.40144355982869,679.71,309.24,98.29172498888889,61.35090556666666,1.6813946320473712,51.03845630356235,678.7971371503436,307.1070799751545,,
1936,193.6,679.478667394843,307.61411417933164,1.3400745562436187,0.1536387083010749,1.348853093920889,96.54036840777258,LOCKED,398.17816052680473,1101.8,1101.8218394731953,1500.0,20.627727770268063,0.9216174483299255,1.771325496295545,5.774356358110525,0.15423625917423045,0.8258165518442789,98.2916607298319,61.35135720161685,19.866953317781288,-4.750850280021016,20.42709995359294,103.44877080646421,679.84,309.25,98.2917611,61.35090278888889,1.675315991033743,50.86807674023518,678.9295504975773,307.11122059989617,,
1937,193.7,679.6126691990834,307.6295051472036,1.339961528564165,0.15418064913808083,1.3488026433102263,96.56378656902814,LOCKED,398.2407275118678,1101.4,1101.7592724881322,1500.0,20.627727770268063,0.9216174483299255,1.771325496295545,5.785728352229313,0.15439826308628082,0.8258165518442789,98.29169795255531,61.35135292634799,19.8652803663227,-4.7676082950142105,20.429377202628924,103.4955723991302,679.98,309.25,98.2917999888889,61.35090278888889,1.6616062967026006,50.40435533202204,679.0619638448111,307.11536122463787,,
1938,193.8,679.7466596850248,307.6449500363122,1.3398481902653288,0.15471713303354218,1.3487514834881167,96.58697770816843,LOCKED,398.30512989735894,1102.0,1101.694870102641,1500.0,20.627727770268063,0.9216174483299255,1.771325496295545,5.7971191602037715,0.1545600971921938,0.8258165518442789,98.29173517213474,61.35134863610102,19.863602818896855,-4.78419756924831,20.43162409913829,103.54190650749587,680.11,309.26,98.29183610000001,61.35090001111111,1.6554161318817118,50.23059749153991,679.1943771920448,307.11950184937956,,
1939,193.9,679.8806388169686,307.66044829941643,1.3397344486102194,0.1552481290507608,1.348699512258639,96.60994098788046,LOCKED,398.53922837435425,1101.6,1101.4607716256457,1500.0,20.627727770268063,0.9216174483299255,1.771325496295545,5.808528757429553,0.154721762024805,0.8258165518442789,98.29177238856028,61.35134433102794,19.861919300553943,-4.8006171460918585,20.43383868207509,103.58777182236184,680.24,309.27,98.29187221111111,61.35089723333333,1.6491807471351156,50.0552495777099,679.3267905392786,307.12364247412125,,
1940,194.0,680.0146065499259,307.67599938614745,1.33962021053643,0.15577360556984676,1.3486466270561386,96.63267554943877,LOCKED,399.0016683421927,1100.7,1100.9983316578073,1500.0,20.627727770268063,0.9216174483299255,1.771325496295545,5.819957119313116,0.1548832581141693,0.8258165518442789,98.29180960181942,61.35134001128162,19.860228431516997,-4.816866047787594,20.436018983020272,103.63316699215886,680.38,309.27,98.29191110000001,61.35089723333333,1.6353441015025763,49.58682355371559,679.4592038865123,307.12778309886295,,
1941,194.1,680.1485628295856,307.6916027429404,1.3395053826574905,0.15629353028905985,1.348592724946493,96.65518051260727,LOCKED,399.3175206825217,1100.9,1100.6824793174783,1500.0,20.627727770268063,0.9216174483299255,1.771325496295545,5.831404221272404,0.155044585987581,0.8258165518442789,98.29184681189712,61.35133567701585,19.8585288272034,-4.832943275493928,20.438163026187322,103.67809062271408,680.51,309.28,98.29194721111112,61.350894455555554,1.6290005139322559,49.40820053281614,679.5916172337461,307.13192372360464,,
1942,194.2,680.2825075922816,307.7072578129662,1.3393898712643275,0.1568078702262698,1.3485377026284324,96.67745497554347,LOCKED,399.3042540264835,1100.4,1100.6957459735165,1500.0,20.627727770268063,0.9216174483299255,1.771325496295545,5.842870038737528,0.15520574616959384,0.8258165518442789,98.29188401877563,61.351331328385285,19.85681909824654,-4.848847809330098,20.44026882843114,103.72254127702115,680.64,309.29,98.29198332222222,61.350891677777774,1.6226132170646574,49.22803770210441,679.7240305809798,307.13606434834634,,
