sample,t_s,reason,roughness,accepted,num_candidates,rank,x_meas,y_meas,azimuth_deg,speed_px_s,corr,score,hyp,dx,dy,dtheta,innovation,x_pred,y_pred
2600,260.0,local_candidate,2.089770085632343,1,,2,766.8519897460938,319.860595703125,,,0.9520866274833679,32.795574240175725,3,0.0,10.0,-4.0,9.99999999986276,766.851988880969,309.8605957032623
2600,260.0,local_candidate,2.089770085632343,1,,3,756.8519897460938,309.860595703125,,,0.9294732809066772,32.73296091089879,3,-10.0,0.0,0.0,9.999999134875225,766.851988880969,309.8605957032623
2600,260.0,local_candidate,2.089770085632343,1,,4,776.8519897460938,309.860595703125,,,0.9384542107582092,32.70194180614533,3,10.0,0.0,-4.0,10.000000865124775,766.851988880969,309.8605957032623
2600,260.0,local_candidate,2.089770085632343,1,,0,769.3235473632812,311.1991882324219,,,0.9330524206161499,32.935883565860834,4,0.0,0.0,0.0,1.4994608027854913e-05,769.3235477852334,311.19917324375194
2600,260.0,local_candidate,2.089770085632343,1,,1,769.3235473632812,301.1991882324219,,,0.9484437704086304,32.71127551531887,4,0.0,-10.0,0.0,9.999985011330077,769.3235477852334,311.19917324375194
2600,260.0,local_candidate,2.089770085632343,1,,2,759.3235473632812,311.1991882324219,,,0.9617184996604919,32.68454993635807,4,-10.0,0.0,-8.0,10.000000421963342,769.3235477852334,311.19917324375194
2600,260.0,local_candidate,2.089770085632343,1,,3,779.3235473632812,311.1991882324219,,,0.936013400554657,32.618844854130316,4,10.0,0.0,-4.0,9.999999578059125,769.3235477852334,311.19917324375194
2600,260.0,local_candidate,2.089770085632343,1,,4,769.3235473632812,321.1991882324219,,,0.8648843169212341,32.50771546228468,4,0.0,10.0,8.0,10.00001498866994,769.3235477852334,311.19917324375194
2600,260.0,local_candidate,2.089770085632343,1,,0,768.4169311523438,307.36517333984375,,,0.9372814893722534,32.93831625620559,5,0.0,0.0,0.0,1.1776633741285663e-05,768.4169384329401,307.36516408338554
2600,260.0,local_candidate,2.089770085632343,1,,1,768.4169311523438,297.36517333984375,,,0.9607540369033813,32.7217892243985,5,0.0,-10.0,0.0,9.999990743544437,768.4169384329401,307.36516408338554
2600,260.0,local_candidate,2.089770085632343,1,,2,768.4169311523438,317.36517333984375,,,0.9567091464996338,32.677743963736425,5,0.0,10.0,4.0,10.000009256460864,768.4169384329401,307.36516408338554
2600,260.0,local_candidate,2.089770085632343,1,,3,778.4169311523438,307.36517333984375,,,0.9470347762107849,32.62806992418864,5,10.0,0.0,-4.0,9.999992719407906,768.4169384329401,307.36516408338554
2600,260.0,local_candidate,2.089770085632343,1,,4,758.4169311523438,307.36517333984375,,,0.9386888146400452,32.57972367139404,5,-10.0,0.0,8.0,10.000007280600663,768.4169384329401,307.36516408338554
2600,260.0,local_candidate,2.089770085632343,1,,0,766.33203125,309.860595703125,,,0.9622889757156372,32.9586923827504,6,0.0,0.0,0.0,2.7606471538634612e-05,766.3320036435285,309.86059570517386
2600,260.0,local_candidate,2.089770085632343,1,,1,766.33203125,299.860595703125,,,0.9597176909446716,32.71612165006712,6,0.0,-10.0,0.0,10.00000000208697,766.3320036435285,309.86059570517386
2600,260.0,local_candidate,2.089770085632343,1,,2,756.33203125,309.860595703125,,,0.9399532079696655,32.65635771926328,6,-10.0,0.0,0.0,9.999972393528537,766.3320036435285,309.86059570517386
2600,260.0,local_candidate,2.089770085632343,1,,3,766.33203125,319.860595703125,,,0.9385972023010254,32.61500116150543,6,0.0,10.0,0.0,9.999999997989242,766.3320036435285,309.86059570517386
2600,260.0,local_candidate,2.089770085632343,1,,4,776.33203125,309.860595703125,,,0.9524914622306824,32.588894869265445,6,10.0,0.0,-4.0,10.000027606471463,766.3320036435285,309.86059570517386
2600,260.0,local_candidate,2.089770085632343,1,,0,765.769287109375,309.860595703125,,,0.9498230218887329,32.93849247206041,7,0.0,0.0,0.0,3.0490822934176395e-05,765.7693176001978,309.86059570555636
2600,260.0,local_candidate,2.089770085632343,1,,1,765.769287109375,299.860595703125,,,0.9556931257247925,32.704363185663375,7,0.0,-10.0,0.0,10.000000002477847,765.7693176001978,309.86059570555636
2600,260.0,local_candidate,2.089770085632343,1,,2,765.769287109375,319.860595703125,,,0.9465734958648682,32.655243555900704,7,0.0,10.0,0.0,9.99999999761512,765.7693176001978,309.86059570555636
2600,260.0,local_candidate,2.089770085632343,1,,3,775.769287109375,309.860595703125,,,0.9286341667175293,32.59730483652213,7,10.0,0.0,-4.0,9.999969509177163,765.7693176001978,309.86059570555636
2600,260.0,local_candidate,2.089770085632343,1,,4,755.769287109375,309.860595703125,,,0.9100048542022705,32.53867430437395,7,-10.0,0.0,0.0,10.000030490822837,765.7693176001978,309.86059570555636
2650,265.0,local_candidate,1.8677470782944259,1,,0,776.0004272460938,313.6864929199219,,,0.9394024610519409,34.13587537480914,0,0.0,0.0,0.0,2.7965621431896003e-06,776.000427637986,313.68649568888924
2650,265.0,local_candidate,1.8677470782944259,1,,1,776.0004272460938,303.6864929199219,,,0.9354016780853271,33.89187459239442,0,0.0,-10.0,0.0,10.00000276896737,776.000427637986,313.68649568888924
2650,265.0,local_candidate,1.8677470782944259,1,,2,766.0004272460938,313.6864929199219,,,0.939881443977356,33.85635440582794,0,-10.0,0.0,-8.0,10.00000039189267,776.000427637986,313.68649568888924
2650,265.0,local_candidate,1.8677470782944259,1,,3,786.0004272460938,313.6864929199219,,,0.9118741750717163,33.788347152598,0,10.0,0.0,-8.0,9.999999608108098,776.000427637986,313.68649568888924
2650,265.0,local_candidate,1.8677470782944259,1,,4,776.0004272460938,323.6864929199219,,,0.6279006004333496,33.46437362550114,0,0.0,10.0,8.0,9.999997231032644,776.000427637986,313.68649568888924
2650,265.0,local_candidate,1.8677470782944259,1,,0,775.0846557617188,310.067626953125,,,0.9390980005264282,34.1347123299562,1,0.0,0.0,0.0,1.7998682994906596e-05,775.0846737604015,310.0676269559138
2650,265.0,local_candidate,1.8677470782944259,1,,1,775.0846557617188,300.067626953125,,,0.9507929086685181,33.90640759801585,1,0.0,-10.0,0.0,10.000000002804992,775.0846737604015,310.0676269559138
2650,265.0,local_candidate,1.8677470782944259,1,,2,775.0846557617188,320.067626953125,,,0.9643568396568298,33.879971529115714,1,0.0,10.0,4.0,9.999999997227402,775.0846737604015,310.0676269559138
2650,265.0,local_candidate,1.8677470782944259,1,,3,765.0846557617188,310.067626953125,,,0.9517375826835632,33.82735191211334,1,-10.0,0.0,4.0,10.000017998682779,775.0846737604015,310.0676269559138
2650,265.0,local_candidate,1.8677470782944259,1,,4,785.0846557617188,310.067626953125,,,0.9387395977973938,33.77435464717448,1,10.0,0.0,-4.0,9.999982001317221,775.0846737604015,310.0676269559138
2650,265.0,local_candidate,1.8677470782944259,1,,0,773.47265625,312.4435729980469,,,0.946150004863739,34.06220199809817,2,0.0,0.0,0.0,1.1701549061170133e-06,773.4726555992369,312.4435720255399
2650,265.0,local_candidate,1.8677470782944259,1,,1,773.47265625,302.4435729980469,,,0.9372114539146423,33.813263490002306,2,0.0,-10.0,0.0,9.999999027493025,773.4726555992369,312.4435720255399
2650,265.0,local_candidate,1.8677470782944259,1,,2,763.47265625,312.4435729980469,,,0.9638464450836182,33.7998984747364,2,-10.0,0.0,-8.0,9.999999349236921,773.4726555992369,312.4435720255399
2650,265.0,local_candidate,1.8677470782944259,1,,3,783.47265625,312.4435729980469,,,0.9162628650665283,33.71231486868879,2,10.0,0.0,-8.0,10.000000650763175,773.4726555992369,312.4435720255399
2650,265.0,local_candidate,1.8677470782944259,1,,4,773.47265625,322.4435729980469,,,0.9096434712409973,33.66569546842838,2,0.0,10.0,8.0,10.000000972507017,773.4726555992369,312.4435720255399
2650,265.0,local_candidate,1.8677470782944259,1,,0,773.47265625,310.067626953125,,,0.9422274231910706,34.022677766988025,3,0.0,0.0,-4.0,7.92665666528228e-07,773.4726554573359,310.06762695470997
2650,265.0,local_candidate,1.8677470782944259,1,,1,773.47265625,320.067626953125,,,0.9519407749176025,33.79239113459957,3,0.0,10.0,4.0,9.999999998415067,773.4726554573359,310.06762695470997
2650,265.0,local_candidate,1.8677470782944259,1,,2,773.47265625,300.067626953125,,,0.9353188872337341,33.73576924685231,3,0.0,-10.0,0.0,10.000000001584997,773.4726554573359,310.06762695470997
2650,265.0,local_candidate,1.8677470782944259,1,,3,763.47265625,310.067626953125,,,0.932127833366394,33.692578208869946,3,-10.0,0.0,4.0,9.999999207335918,773.4726554573359,310.06762695470997
2650,265.0,local_candidate,1.8677470782944259,1,,4,783.47265625,310.067626953125,,,0.9261001348495483,33.64655047864654,3,10.0,0.0,-4.0,10.000000792664082,773.4726554573359,310.06762695470997
2650,265.0,local_candidate,1.8677470782944259,1,,0,776.0004272460938,300.09686279296875,,,0.9549805521965027,33.71537765089456,4,0.0,-10.0,4.0,10.00000014401133,776.0004276268271,310.0968629369801
2650,265.0,local_candidate,1.8677470782944259,1,,1,776.0004272460938,310.09686279296875,,,0.8977311849594116,33.81812827839651,4,0.0,0.0,-8.0,4.0705914601282e-07,776.0004276268271,310.0968629369801
2650,265.0,local_candidate,1.8677470782944259,1,,2,766.0004272460938,310.09686279296875,,,0.9012470841407776,33.58164417810439,4,-10.0,0.0,-8.0,10.000000380733356,776.0004276268271,310.0968629369801
2650,265.0,local_candidate,1.8677470782944259,1,,3,786.0004272460938,310.09686279296875,,,0.8254749774932861,33.46587208668623,4,10.0,0.0,-8.0,9.999999619266648,776.0004276268271,310.0968629369801
2650,265.0,local_candidate,1.8677470782944259,1,,4,776.0004272460938,320.09686279296875,,,0.5981691479682922,33.1985662524268,4,0.0,10.0,8.0,9.999999855988683,776.0004276268271,310.0968629369801
