t_s,lon,lat,speed_m_s,course_deg,v_east_m_s,v_north_m_s
257.9,98.31577890933363,61.34974578734971,20.35709269575025,94.80124209729797,20.285660573336923,-1.7038773801926435
258.0,98.31581690975835,61.34974425446658,20.350672652850722,94.81704607656383,20.27879245184284,-1.7089336202931307
258.1,98.31585489720881,61.349742717116285,20.344129064445607,94.83241841337792,20.271812890424364,-1.713823073261975
258.2,98.31589287147607,61.34974117544942,20.337461475520602,94.84735429148202,20.264721700464804,-1.7185440555875933
258.3,98.31593083235076,61.34973962961806,20.3306694364145,94.86184886376304,20.257518697146217,-1.7230948805942492
258.4,98.31596877962325,61.349738079775825,20.323752502971484,94.87589725221,20.250203699467523,-1.7274738585898868
258.5,98.31600671308352,61.349736526077855,20.316710236697542,94.88949454786791,20.242776530264386,-1.7316792970143322
258.6,98.31604463252127,61.349734968680806,20.3095422049212,94.9026358107892,20.235237016230972,-1.7357095005879737
258.7,98.31608253772582,61.349733407742846,20.30224798095848,94.9153160699816,20.227584987943573,-1.7395627714608495
258.8,98.31612042848622,61.34973184342368,20.294827144282152,94.9275303233535,20.219820279886058,-1.7432374093622733
258.9,98.3161583045912,61.34973027588455,20.287279280695227,94.93927353765736,20.21194273047718,-1.7467317117509744
259.0,98.3161961658292,61.349728705288214,20.279603982508927,94.95054064842975,20.203952182099865,-1.7500439739658074
259.1,98.31623401198834,61.34972713179897,20.271800848724805,94.96132655993006,20.195848481132234,-1.753172489377051
259.2,98.31627184285651,61.34972555558264,20.263869485221413,94.97162614507636,20.1876314779807,-1.7561155495383591
259.3,98.31630965822126,61.34972397680659,20.255809504945226,94.98143424537994,20.179301027114814,-1.758871444339361
259.4,98.31634745786992,61.34972239563972,20.247620528106044,94.99074567087797,20.17085698710415,-1.7614384621589994
259.5,98.31638524158954,61.349720812252485,20.239302182376825,94.99955520006426,20.162299220657065,-1.7638148900195771
259.6,98.31642300916693,61.349719226816845,20.2308541030979,95.00785757981919,20.153627594661387,-1.7659990137415902
259.7,98.31646076038861,61.34971763950633,20.22227593348576,95.01564752533812,20.14484198022709,-1.7679891180993805
259.8,98.31649849504092,61.349716050496,20.21356732484622,95.02291972005878,20.135942252730864,-1.7697834869776186
259.9,98.31653621290995,61.34971445996245,20.20472793679214,95.02966881558831,20.1269282918627,-1.7713804035286922
260.0,98.31657391378155,61.349712868083834,20.195757437465684,95.03588943162907,20.117799981674427,-1.772778150330989
260.1,98.3166115974414,61.34971127503984,20.18665550376509,95.04157615590498,20.108557210630206,-1.7739750095481486
260.2,98.3166492636749,61.34970968101168,20.177421821576,95.04672354408672,20.09919987165906,-1.7749692630893035
260.3,98.31668691226736,61.34970808618216,20.168056086007336,95.05132611971794,20.089727862209312,-1.7757591927703416
260.4,98.3167245430038,61.34970649073558,20.158558001631818,95.05537837414141,20.08014108430512,-1.7763430804762537
260.5,98.31676215566914,61.349704894857794,20.14892728273107,95.05887476642579,20.07043944460497,-1.7767192083245615
260.6,98.31679975004806,61.34970329873622,20.139163653545324,95.06180972329349,20.060622854462203,-1.776885858829921
260.7,98.31683732592515,61.349701702559805,20.1292668485278,95.06417763904938,20.05069122998758,-1.7768413150698943
260.8,98.3168748830848,61.34970010651904,20.11923661260371,95.06597287551125,20.04064449211387,-1.7765838608519748
260.9,98.31691242135632,61.34969851078301,20.10912514290381,95.06732253672067,20.030530687231263,-1.7761628306134678
261.0,98.31694994065911,61.34969691547651,20.09898465030878,95.06835395543754,20.020397866726228,-1.7756275598592768
261.1,98.31698744095746,61.34969532070293,20.08881491355013,95.06906180381321,20.010245966477605,-1.7749763356002557
261.2,98.3170249222156,61.3496937265672,20.078615718381286,95.06944074314595,20.000074927461704,-1.774207446254754
261.3,98.31706238439759,61.34969213317579,20.068386857765166,95.06948542420412,19.98988469582345,-1.773319181818395
261.4,98.31709982746743,61.349690540636715,20.058128132064027,95.06919048755094,19.979675222948085,-1.7723098340337509
261.5,98.31713725138906,61.34968894905949,20.047839349231655,95.0685505638694,19.969446465533537,-1.7711776965599129
261.6,98.31717465612628,61.349687358555194,20.03752032500775,95.06756027428906,19.959198385663317,-1.7699210651420332
261.7,98.31721204166763,61.349685769207106,20.02720294136646,95.06639356709786,19.94895734824068,-1.7686035091991592
261.8,98.31724940805098,61.34968418104141,20.01691908221272,95.06522476115515,19.938749723744674,-1.7672886005752886
261.9,98.31728675533894,61.34968259405648,20.00666857663581,95.0640490235653,19.928575490941075,-1.765974642289467
262.0,98.31732408359404,61.34968100825223,19.996451259766925,95.06286151797713,19.918434634277038,-1.7646599401208243
262.1,98.31736139287882,61.349679423630086,19.98626697286986,95.06165740510852,19.908327143955006,-1.7633428027734277
262.2,98.31739868325579,61.349677840192996,19.976115563432845,95.06043184326711,19.89825301600654,-1.76202154203932
262.3,98.31743595478746,61.34967625794541,19.965996885261315,95.05917998886662,19.88821225236581,-1.760694472959758
262.4,98.31747320753634,61.349674676893315,19.955910798571836,95.05789699693935,19.878204860943047,-1.7593599139847027
262.5,98.31751044159073,61.34967309701489,19.94589028078579,95.0567576853407,19.868258324775873,-1.7580814068521669
