t_s,lon,lat,speed_m_s,course_deg,v_east_m_s,v_north_m_s
2.4,98.22118349395733,61.35421285051875,18.896400968596517,96.1935557384972,18.786104655699997,-2.0386862022053065
2.5,98.22121869653049,61.354211018654844,18.896765623787807,96.1967582488594,18.786353199851643,-2.039775598146153
2.6,98.22125389980759,61.35420918570641,18.897410747460192,96.20058744861791,18.7868581849277,-2.0411008053594646
2.7,98.22128910426974,61.35420735146007,18.898337364431292,96.20505320010466,18.787620228572777,-2.0426652409983586
2.8,98.22132431039923,61.35420551569939,18.899546522066544,96.21016533825804,18.788639961797802,-2.044472334293689
2.9,98.22135951867949,61.35420367820484,18.901039290633424,96.21593366871616,18.789918028967943,-2.0465255265287867
3.0,98.22139472959526,61.3542018387538,18.90281676365679,96.22236796588675,18.791455087786385,-2.0488282710103736
3.1,98.22142994363247,61.35419999712053,18.904880058275467,96.2294779709913,18.793251809274203,-2.051384033035583
3.2,98.2214651612783,61.35419815307619,18.907230315599662,96.23727339008553,18.795308877745985,-2.054196289854974
3.3,98.22150038300039,61.35419630638101,18.90984842354505,96.24582343639293,18.79760469560335,-2.0572858598843515
3.4,98.22153560922588,61.354194456776526,18.912715307459642,96.25519728726431,18.800117678484902,-2.0606735734069446
3.5,98.22157084036238,61.354192603993326,18.915832204035755,96.26540453590985,18.80284855041079,-2.0643629432711372
3.6,98.22160607681887,61.35419074775885,18.919200378623646,96.27645473201841,18.805798048558284,-2.06835749408912
3.7,98.22164131900573,61.35418888779736,18.922821125662267,96.28835737976294,18.808966923218776,-2.072660762177991
3.8,98.22167656733473,61.354187023829944,18.92669576911076,96.30112193577406,18.81235593775127,-2.077276295496032
3.9,98.2217118222191,61.354185155574484,18.93082566288076,96.31475780708234,18.815965868532558,-2.082207653574111
4.0,98.22174708407356,61.35418328274567,18.935212191269045,96.32927434902751,18.819797504903796,-2.0874584074420994
4.1,98.22178235329648,61.35418140508756,18.93982986829896,96.34446921597765,18.823832644184378,-2.0929596326369846
4.2,98.22181763025213,61.35417952240608,18.944653161113656,96.36014031454033,18.82805309649729,-2.0986424160329102
4.3,98.22185291528855,61.35417763453652,18.94968342290663,96.37629732665755,18.832459689637165,-2.104510362667209
4.4,98.2218882087553,61.35417574131093,18.954922028623677,96.39294991727957,18.837053264116054,-2.110567088736559
4.5,98.22192351100357,61.3541738425581,18.960370375175383,96.4101077326485,18.841834673094013,-2.11681622150355
4.6,98.22195882238613,61.35417193810354,18.96602988165202,96.42778039855773,18.846804782306837,-2.123261399200169
4.7,98.22199414325736,61.35417002776952,18.97190198954066,96.44597751858714,18.851964469990847,-2.1299062709282914
4.8,98.22202947397338,61.354168111374996,18.977988162944417,96.46470867231466,18.857314626804687,-2.1367544965569643
4.9,98.22206481486317,61.354166188753084,18.98425503868569,96.48387744472097,18.86282549349574,-2.1437709242804197
5.0,98.22210016620001,61.354164259768474,18.99066922841365,96.50338768188197,18.86846732303986,-2.150920412845204
5.1,98.22213552823017,61.35416232429997,18.997232190572568,96.523249329951,18.874241042810954,-2.1582066537746116
5.2,98.22217090120165,61.35416038222308,19.00394540372186,96.54347232596461,18.880147592264553,-2.165633348918582
5.3,98.22220628536424,61.35415843340994,19.010810366655107,96.56406659640174,18.88618792284702,-2.1732042103374862
5.4,98.22224168096952,61.3541564777294,19.017828598522353,96.58504205571978,18.89236299790258,-2.1809229601836417
5.5,98.2222770882709,61.35415451504691,19.025001638956073,96.60640860486888,18.89867379257835,-2.1887933305804763
5.6,98.22231250752358,61.3541525452246,19.03233104820037,96.62817612978284,18.9051212937272,-2.1968190634993743
5.7,98.22234793897266,61.3541505681514,19.039797868963642,96.65015810493122,18.911693657779388,-2.204936707776284
5.8,98.22238338284099,61.35414858377324,19.047383063175342,96.6721683970689,18.91837905263051,-2.2130828218415313
