sample,t_s,x_est,y_est,vx_est,vy_est,speed_px_s,azimuth_deg,nav_status,terrain,radar_raw,radar_filtered,baro_filtered,hyp_score,last_corr,last_rough,position_uncertainty_px,velocity_uncertainty_px_s,solution_confidence,lon_est,lat_est,v_east_m_s,v_north_m_s,speed_m_s,course_deg,x_true,y_true,lon_true,lat_true,err_px,err_m,x_raw,y_raw,final_fix_corr,final_fix_shift_px
1365,136.5,603.7140897897366,305.20009767615653,1.2993983576596093,0.04461361259129589,1.300164015159986,91.96642390442923,LOCKED,405.9438267312696,1094.1,1094.0561732687304,1500.0,17.082366122150663,0.9525645971298218,2.7116058473944737,3.5228539385741326,0.13466954787582555,0.8945879936218262,98.2706150138305,61.35202776175662,19.263505429141777,-1.379552042684183,19.312840424366602,94.09623245163328,603.8,305.64,98.27063887777778,61.351905566666666,0.4482126936515381,13.662251203437423,603.3215338037481,304.7469239097944,,
1366,136.6,603.8440266056505,305.20456802073187,1.2993379606185356,0.04479327891537703,1.3001098314143793,91.97442846112688,LOCKED,405.9801907351962,1094.3,1094.0198092648038,1500.0,17.082366122150663,0.9525645971298218,2.7116058473944737,3.530377922142478,0.13485505969402584,0.8945879936218262,98.27065110739046,61.35202651999424,19.262610810685455,-1.3851077246832697,19.31234575738829,94.11286250977554,603.93,305.64,98.2706749888889,61.351905566666666,0.4438382961229471,13.524714548952247,603.4539472009994,304.75106453432363,,
1367,136.7,603.9739577057737,305.2090569143243,1.2992840418472729,0.04498459293345184,1.300062550418392,91.98293683307037,LOCKED,406.37772366883655,1092.9,1093.6222763311634,1500.0,17.082366122150663,0.9525645971298218,2.7116058473944737,3.5379373074599987,0.13504031666535468,0.8945879936218262,98.27068719936273,61.35202527307935,19.26181223531134,-1.3910235792644052,19.311974450750995,94.13053870400603,604.06,305.65,98.2707111,61.351902788888886,0.4492594809248656,13.69447632033051,603.5863605982507,304.75520515885285,,
1368,136.8,604.10388373416,305.2135655180544,1.2992365258783192,0.04518748166798817,1.3000220993028768,91.99194584105692,LOCKED,406.542487696566,1093.5,1093.457512303434,1500.0,17.082366122150663,0.9525645971298218,2.7116058473944737,3.5455320091103495,0.13522531983722308,0.8945879936218262,98.27072328992617,61.35202402068943,19.261108584427507,-1.397297349800123,19.31172555171768,94.14925431966282,604.19,305.65,98.27074721111111,61.351902788888886,0.44484948946057884,13.555775837977334,603.718773995502,304.75934578338206,,
1369,136.9,604.2338053601202,305.2180950456852,1.2991959933263757,0.04540307094739872,1.299989103003084,92.00150408580527,LOCKED,406.5207347608168,1093.6,1093.4792652391832,1500.0,17.082366122150663,0.9525645971298218,2.7116058473944737,3.5531619413527076,0.1354100702498868,0.8945879936218262,98.2707593792667,61.35202276248731,19.26050846583315,-1.4039638494067848,19.311610519396655,94.16911019993785,604.33,305.66,98.27078610000001,61.351900011111105,0.45225368698289775,13.738896593684553,603.8511873927533,304.7634864079113,,
1370,137.0,604.3637233110612,305.22264682355876,1.2991630254948465,0.04563248652394987,1.299964188214153,92.01166013238071,LOCKED,406.6029860689059,1092.4,1093.397013931094,1500.0,17.082366122150663,0.9525645971298218,2.7116058473944737,3.560827018133724,0.13559456893651484,0.8945879936218262,98.27079546758641,61.35202149810456,19.260020497558163,-1.4110578888461387,19.311640891753232,94.19020708995441,604.46,305.67,98.27082221111111,61.35189723333333,0.45759596294668203,13.906593492510837,603.9836007900046,304.7676270324405,,
1371,137.1,604.4936383397851,305.22722223064454,1.2991375489822374,0.045875655191461015,1.2999472862061836,92.0224107155596,LOCKED,406.5606253929368,1093.4,1093.4393746070632,1500.0,17.082366122150663,0.9525645971298218,2.7116058473944737,3.568527153099354,0.13577881692325677,0.8945879936218262,98.27083155509439,61.35202022715815,19.25964359167835,-1.4185772044204,19.31181587949145,94.21253804854035,604.59,305.67,98.27085832222222,61.35189723333333,0.4531420556456748,13.765997216217462,604.1160141872559,304.7717676569697,,
1372,137.2,604.6235511917878,305.2318226385872,1.2991194910715707,0.04613250366096236,1.2999383292972346,92.03375254552566,LOCKED,406.2034513463161,1093.8,1093.7965486536839,1500.0,17.082366122150663,0.9525645971298218,2.7116058473944737,3.5762622596065508,0.13596281522930923,0.8945879936218262,98.27086764199773,61.352018949267055,19.259376670416174,-1.4265195298717581,19.312134726696485,94.23609607398458,604.73,305.68,98.27089721111112,61.35189445555555,0.4606455210384369,13.94820075995756,604.2484275845072,304.7759082814989,,
1373,137.3,604.7534626053277,305.23644941169806,1.2991087797281233,0.0464029585570353,1.2999372508431088,92.04568230819427,LOCKED,405.9266504661805,1094.1,1094.0733495338195,1500.0,17.082366122150663,0.9525645971298218,2.7116058473944737,3.584032250734838,0.1361465648669818,0.8945879936218262,98.27090372850148,61.352017664052305,19.25921866610715,-1.4348825962692138,19.31259671028229,94.26087410466977,604.86,305.69,98.27093332222223,61.35189167777777,0.4658952163443929,14.113445459458838,604.3808409817585,304.7800489060281,,
1374,137.4,604.883373311494,305.2411039069466,1.299105343597059,0.04668694641392908,1.2999439852270134,92.05819666551974,LOCKED,405.9703955225559,1094.1,1094.029604477444,1500.0,17.082366122150663,0.9525645971298218,2.7116058473944737,3.591837039297747,0.13633006684176197,0.8945879936218262,98.27093981480876,61.352016371136955,19.259168521164813,-1.4436641318884957,19.313201139436387,94.28686501966342,604.99,305.69,98.27096943333333,61.35189167777777,0.4613859047049156,13.97058120933083,604.5132543790098,304.78418953055734,,
