sample,t_s,x_est,y_est,vx_est,vy_est,speed_px_s,azimuth_deg,nav_status,terrain,radar_raw,radar_filtered,baro_filtered,hyp_score,last_corr,last_rough,position_uncertainty_px,velocity_uncertainty_px_s,solution_confidence,lon_est,lat_est,v_east_m_s,v_north_m_s,speed_m_s,course_deg,x_true,y_true,lon_true,lat_true,err_px,err_m
1180,118.0,577.3481419876509,303.98090870098645,1.3066226857107286,0.041406253058707036,1.3072785933404858,91.81506865499364,LOCKED,416.5102457603916,1083.4,1083.4897542396084,1500.0,13.79481014330016,0.7030195593833923,1.3940323535317953,5.6347227297298925,0.15341221679291292,0.3400434652964273,98.26329113944102,61.352366425360835,19.37039609172334,-1.2803733584709076,19.41266598608581,93.78172074588008,579.16,304.46,98.26379443333335,61.35223334444444,1.8741285787543684,30.67499867173073
1181,118.1,577.478804256222,303.9850493262923,1.3066226857107286,0.041406253058707036,1.3072785933404858,91.81506865499364,LOCKED,416.7479062902064,1095.3,1083.2520937097936,1500.0,13.79481014330016,0.7030195593833923,1.3940323535317953,5.645318043329676,0.15357508997658348,0.3400434652964273,98.26332743451562,61.35236527518714,19.370396803511458,-1.2803733584709076,19.412666696324052,93.78172060731953,579.29,304.47,98.26383054444445,61.35223056666666,1.8749952475163518,30.75434079103437
1182,118.2,577.6094665247931,303.9891899515982,1.3066226857107286,0.041406253058707036,1.3072785933404858,91.81506865499364,LOCKED,417.2693081158109,1082.5,1082.7306918841891,1500.0,13.79481014330016,0.7030195593833923,1.3940323535317953,5.6559352087800425,0.15373779060893167,0.3400434652964273,98.26336372959022,61.352364125013445,19.370397515299565,-1.2803733584709076,19.412667406562285,93.78172046875898,579.42,304.48,98.26386665555556,61.35222778888888,1.875880051724209,30.83454653553034
1183,118.3,577.7401287933642,303.99333057690404,1.3066226857107286,0.041406253058707036,1.3072785933404858,91.81506865499364,LOCKED,417.3985643991432,1082.6,1082.6014356008568,1500.0,13.79481014330016,0.7030195593833923,1.3940323535317953,5.666574191489698,0.15390031923721184,0.3400434652964273,98.26340002466483,61.35236297483974,19.37039822708767,-1.2803733584709076,19.412668116800514,93.78172033019843,579.56,304.48,98.26390554444446,61.35222778888888,1.8838201443127316,30.892548812593585
1184,118.4,577.8707910619353,303.9974712022099,1.3066226857107286,0.041406253058707036,1.3072785933404858,91.81506865499364,LOCKED,417.0293264277368,1083.1,1082.9706735722632,1500.0,13.79481014330016,0.7030195593833923,1.3940323535317953,5.677234956874844,0.1540626764057918,0.3400434652964273,98.26343631973943,61.35236182466605,19.370398938875766,-1.2803733584709076,19.412668827038736,93.78172019163793,579.69,304.49,98.26394165555556,61.35222501111111,1.884703100487536,30.972666806682536
1185,118.5,578.0014533305064,304.0016118275158,1.3066226857107286,0.041406253058707036,1.3072785933404858,91.81506865499364,LOCKED,416.2202048032318,1083.6,1083.7797951967682,1500.0,13.79481014330016,0.7030195593833923,1.3940323535317953,5.687917470360442,0.15422486265617397,0.3400434652964273,98.26347261481403,61.35236067449235,19.37039965066385,-1.2803733584709076,19.412669537276944,93.78172005307744,579.82,304.5,98.26397776666667,61.35222223333333,1.8856040834700005,31.053638348457813
1186,118.6,578.1321155990775,304.00575245282164,1.3066226857107286,0.041406253058707036,1.3072785933404858,91.81506865499364,LOCKED,414.9905859505302,1085.1,1085.0094140494698,1500.0,13.79481014330016,0.7030195593833923,1.3940323535317953,5.698621697381444,0.1543868785270164,0.3400434652964273,98.26350890988864,61.35235952431866,19.370400362451928,-1.2803733584709076,19.41267024751515,93.78171991451688,579.96,304.5,98.26401665555557,61.35222223333333,1.8935263454802902,31.110796388481774
1187,118.7,578.2627778676485,304.0098930781275,1.3066226857107286,0.041406253058707036,1.3072785933404858,91.81506865499364,LOCKED,414.0173522887103,1086.0,1085.9826477112897,1500.0,13.79481014330016,0.7030195593833923,1.3940323535317953,5.709347603384019,0.15454872455415386,0.3400434652964273,98.26354520496324,61.35235837414496,19.37040107423999,-1.2803733584709076,19.412670957753335,93.78171977595645,580.09,304.51,98.26405276666667,61.352219455555556,1.8944254153330804,31.19167760646798
1188,118.8,578.3934401362196,304.01403370343337,1.3066226857107286,0.041406253058707036,1.3072785933404858,91.81506865499364,LOCKED,413.97702903281106,1100.3,1086.022970967189,1500.0,13.79481014330016,0.7030195593833923,1.3940323535317953,5.720095153826756,0.15471040127061828,0.3400434652964273,98.26358150003784,61.35235722397127,19.370401786028054,-1.2803733584709076,19.412671667991525,93.78171963739595,580.22,304.52,98.26408887777778,61.352216677777776,1.895342404220097,31.273402444655748
1189,118.9,578.5241024047907,304.01817432873924,1.3066226857107286,0.041406253058707036,1.3072785933404858,91.81506865499364,LOCKED,414.34101773177485,1085.6,1085.6589822682251,1500.0,13.79481014330016,0.7030195593833923,1.3940323535317953,5.730864314181856,0.1548719092066593,0.3400434652964273,98.26361779511245,61.352356073797566,19.37040249781612,-1.2803733584709076,19.41267237822972,93.78171949883551,580.35,304.52,98.2641249888889,61.352216677777776,1.8936026596219835,31.20102662379768
1190,119.0,578.6547646733618,304.0223149540451,1.3066226857107286,0.041406253058707036,1.3072785933404858,91.81506865499364,LOCKED,413.82447906646007,1085.8,1086.17552093354,1500.0,13.79481014330016,0.7030195593833923,1.3940323535317953,5.7416550499363,0.1550332488897647,0.3400434652964273,98.26365409018705,61.35235492362387,19.370403209604156,-1.2803733584709076,19.41267308846788,93.78171936027502,580.49,304.53,98.26416387777778,61.352213899999995,1.9041619705337745,31.411358867131472
1191,119.1,578.7854269419329,304.02645557935097,1.3066226857107286,0.041406253058707036,1.3072785933404858,91.81506865499364,LOCKED,412.61909137820385,1087.7,1087.3809086217962,1500.0,13.79481014330016,0.7030195593833923,1.3940323535317953,5.752467326593016,0.15519442084468027,0.3400434652964273,98.26369038526165,61.352353773450176,19.370403921392196,-1.2803733584709076,19.412673798706045,93.78171922171464,580.62,304.53,98.26419998888889,61.352213899999995,1.9024235303823631,31.339044222660483
1192,119.2,578.916089210504,304.03059620465683,1.3066226857107286,0.041406253058707036,1.3072785933404858,91.81506865499364,LOCKED,412.3392371940024,1088.3,1087.6607628059976,1500.0,13.79481014330016,0.7030195593833923,1.3940323535317953,5.763301109672009,0.15535542559342988,0.3400434652964273,98.26372668033626,61.35235262327648,19.370404633180225,-1.2803733584709076,19.412674508944203,93.7817190831542,580.75,304.54,98.2642361,61.35221112222222,1.9033446904173716,31.420964660430876
1193,119.3,579.046751479075,304.0347368299627,1.3066226857107286,0.041406253058707036,1.3072785933404858,91.81506865499364,LOCKED,413.0275279587695,1086.7,1086.9724720412305,1500.0,13.79481014330016,0.7030195593833923,1.3940323535317953,5.774156364711493,0.1555162636553352,0.3400434652964273,98.26376297541086,61.352351473102786,19.37040534496825,-1.2803733584709076,19.412675219182354,93.78171894459376,580.89,304.55,98.2642749888889,61.35220834444444,1.9139125487568254,31.631696620065167
1194,119.4,579.1774137476461,304.03887745526856,1.3066226857107286,0.041406253058707036,1.3072785933404858,91.81506865499364,LOCKED,413.5746056988205,1085.9,1086.4253943011795,1500.0,13.79481014330016,0.7030195593833923,1.3940323535317953,5.785033057268999,0.15567693554703513,0.3400434652964273,98.26379927048546,61.35235032292909,19.37040605675627,-1.2803733584709076,19.412675929420498,93.78171880603338,581.02,304.55,98.2643111,61.35220834444444,1.9121637882504001,31.558899201500324
1195,119.5,579.3080760162172,304.0430180805744,1.3066226857107286,0.041406253058707036,1.3072785933404858,91.81506865499364,LOCKED,413.8794153276583,1086.9,1086.1205846723417,1500.0,13.79481014330016,0.7030195593833923,1.3940323535317953,5.79593115292247,0.15583744178250533,0.3400434652964273,98.26383556556007,61.352349172755396,19.370406768544278,-1.2803733584709076,19.412676639658635,93.781718667473,581.15,304.56,98.26434721111112,61.35220556666666,1.9131006944348394,31.641555417159648
1196,119.6,579.4387382847883,304.0471587058803,1.3066226857107286,0.041406253058707036,1.3072785933404858,91.81506865499364,LOCKED,414.2667084885609,1085.9,1085.7332915114391,1500.0,13.79481014330016,0.7030195593833923,1.3940323535317953,5.806850617271336,0.1559977828730772,0.3400434652964273,98.26387186063467,61.352348022581694,19.370407480332275,-1.2803733584709076,19.412677349896757,93.78171852891262,581.29,304.57,98.26438610000001,61.35220278888889,1.923676936765927,31.852677241991092
1197,119.7,579.5694005533594,304.05129933118616,1.3066226857107286,0.041406253058707036,1.3072785933404858,91.81506865499364,LOCKED,414.6463324636527,1085.2,1085.3536675363473,1500.0,13.79481014330016,0.7030195593833923,1.3940323535317953,5.817791415937584,0.15615795932745707,0.3400434652964273,98.26390815570927,61.352346872408,19.37040819212027,-1.2803733584709076,19.41267806013488,93.78171839035224,581.42,304.57,98.26442221111111,61.35220278888889,1.9219179732065206,31.779405218871442
1198,119.8,579.7000628219305,304.055439956492,1.3066226857107286,0.041406253058707036,1.3072785933404858,91.81506865499364,LOCKED,414.6106235956163,1085.3,1085.3893764043837,1500.0,13.79481014330016,0.7030195593833923,1.3940323535317953,5.828753514566798,0.15631797165174496,0.3400434652964273,98.26394445078387,61.352345722234304,19.370408903908256,-1.2803733584709076,19.41267877037299,93.78171825179186,581.55,304.58,98.26445832222223,61.35220001111111,1.922870458987994,31.862785337737915
1199,119.9,579.8307250905016,304.0595805817979,1.3066226857107286,0.041406253058707036,1.3072785933404858,91.81506865499364,LOCKED,414.2065756146594,1085.9,1085.7934243853406,1500.0,13.79481014330016,0.7030195593833923,1.3940323535317953,5.839736878829198,0.15647782034945318,0.3400434652964273,98.26398074585848,61.35234457206061,19.37040961569622,-1.2803733584709076,19.412679480611086,93.78171811323153,581.69,304.59,98.26449721111112,61.35219723333333,1.9334549253335143,32.074287445866624
1200,120.0,581.4733345794982,304.0637211508717,1.3241342560808687,0.04140625225190893,1.3247814936254145,91.79108022086257,LOCKED,414.0886519845676,1085.9,1085.9113480154324,1500.0,14.339357642798165,0.5643741488456726,1.327699019796407,5.569474023332652,0.15418871693545932,0.031942552990383476,98.26443702627209,61.35234342190253,19.63001572638397,-1.280373333522917,19.671727765788102,93.73184725194312,581.82,304.59,98.26453332222222,61.35219723333333,0.6301954782537804,17.0659200845251
1201,120.1,581.6057480051063,304.0678617760969,1.3241342560808687,0.04140625225190893,1.3247814936254145,91.79108022086257,LOCKED,414.3683921270567,1085.6,1085.6316078729433,1500.0,14.339357642798165,0.5643741488456726,1.327699019796407,5.580193733000884,0.1543507707470332,0.031942552990383476,98.2644738077792,61.35234227172886,19.630016447711416,-1.280373333522917,19.67172848558604,93.73184711519968,581.95,304.6,98.26456943333334,61.352194455555555,0.6337827114454124,17.228148189065646
1202,120.2,581.7381614307144,304.0720024013221,1.3241342560808687,0.04140625225190893,1.3247814936254145,91.79108022086257,LOCKED,414.6100808124461,1085.4,1085.389919187554,1500.0,14.339357642798165,0.5643741488456726,1.327699019796407,5.590935501530679,0.1545126545956777,0.031942552990383476,98.26451058928632,61.352341121555185,19.63001716903885,-1.280373333522917,19.671729205383972,93.73184697845613,582.09,304.6,98.26460832222223,61.352194455555555,0.6344854947487917,17.13979067785544
1203,120.3,581.8705748563225,304.0761430265473,1.3241342560808687,0.04140625225190893,1.3247814936254145,91.79108022086257,LOCKED,414.69876352520896,1085.3,1085.301236474791,1500.0,14.339357642798165,0.5643741488456726,1.327699019796407,5.601699291281037,0.15467436901504789,0.031942552990383476,98.26454737079342,61.35233997138151,19.63001789036628,-1.280373333522917,19.671729925181893,93.7318468417127,582.22,304.61,98.26464443333334,61.352191677777775,0.6380448253360875,17.3017241187571
1204,120.4,582.0029882819306,304.0802836517725,1.3241342560808687,0.04140625225190893,1.3247814936254145,91.79108022086257,LOCKED,414.7249811898155,1085.1,1085.2750188101845,1500.0,14.339357642798165,0.5643741488456726,1.327699019796407,5.612485064640212,0.15483591453601198,0.031942552990383476,98.26458415230054,61.35233882120784,19.630018611693703,-1.280373333522917,19.67173064497981,93.73184670496926,582.35,304.62,98.26468054444445,61.352188899999994,0.6416469972044848,17.464109096573956
