t_s,lon,lat,speed_m_s,course_deg,v_east_m_s,v_north_m_s
229.8,98.30482309025464,61.349660129421004,19.9019805441106,99.45372194082262,19.631683576531383,-3.268918709467209
229.9,98.30485987173375,61.3496571929148,19.90198236067065,99.45372107001418,19.631685418102567,-3.268918709467209
230.0,98.30489665311623,61.34965425600427,19.90198423435474,99.4537234128959,19.63168713267,-3.268919819980862
230.1,98.30493343459511,61.34965131949706,19.90198605091529,99.45372254208729,19.631688974241698,-3.268919819980862
230.2,98.30497021607398,61.34964838298986,19.901987867475793,99.4537216712788,19.631690815813343,-3.268919819980862
230.3,98.30500699755285,61.349645446482654,19.901989684036252,99.45372080047048,19.63169265738494,-3.268919819980862
230.4,98.30504377903172,61.34964250997545,19.90199150059666,99.45371992966238,19.631694498956477,-3.268919819980862
230.5,98.3050805605106,61.349639573468245,19.901993317157025,99.45371905885452,19.631696340527967,-3.268919819980862
230.6,98.30511734198947,61.349636636961044,19.901995133717335,99.45371818804676,19.6316981820994,-3.268919819980862
230.7,98.30515412346834,61.349633700453836,19.90199695027761,99.45371731723918,19.63170002367079,-3.268919819980862
230.8,98.30519090494722,61.349630763946635,19.90199876683783,99.45371644643183,19.631701865242118,-3.268919819980862
230.9,98.3052276864261,61.34962782743943,19.90200058339801,99.45371557562464,19.6317037068134,-3.268919819980862
231.0,98.30526446790496,61.349624890932226,19.902002399958143,99.45371470481763,19.631705548384634,-3.268919819980862
231.1,98.30530124938383,61.34962195442502,19.902004216518225,99.45371383401084,19.63170738995581,-3.268919819980862
231.2,98.30533803086271,61.34961901791782,19.90200603307827,99.45371296320417,19.63170923152694,-3.268919819980862
231.3,98.30537481234158,61.34961608141061,19.902007849638267,99.45371209239772,19.63171107309802,-3.268919819980862
231.4,98.30541159382045,61.34961314490341,19.902009666198207,99.45371122159145,19.63171291466904,-3.268919819980862
231.5,98.30544837529932,61.3496102083962,19.90201148275811,99.4537103507854,19.631714756240015,-3.268919819980862
231.6,98.3054851567782,61.349607271889,19.90201329931796,99.45370947997947,19.631716597810932,-3.268919819980862
231.7,98.30552193825707,61.34960433538179,19.902015115877774,99.45370860917376,19.631718439381807,-3.268919819980862
231.8,98.30555871973594,61.34960139887459,19.90201693243753,99.45370773836822,19.63172028095262,-3.268919819980862
231.9,98.30559550121481,61.34959846236738,19.90201874899725,99.45370686756286,19.631722122523392,-3.268919819980862
232.0,98.3056322826937,61.34959552586018,19.90202056555692,99.45370599675766,19.63172396409411,-3.268919819980862
232.1,98.30566906417256,61.34959258935297,19.902022382116545,99.4537051259527,19.631725805664775,-3.268919819980862
232.2,98.30570584565143,61.34958965284577,19.902024198676116,99.4537042551479,19.63172764723538,-3.268919819980862
232.3,98.3057426271303,61.349586716338564,19.902026015235652,99.45370338434327,19.631729488805945,-3.268919819980862
232.4,98.30577940860918,61.34958377983136,19.902027831795134,99.45370251353881,19.631731330376454,-3.268919819980862
232.5,98.30581619008805,61.349580843324155,19.90202964835457,99.45370164273459,19.63173317194691,-3.268919819980862
232.6,98.30585297156692,61.349577906816954,19.902031464913957,99.45370077193047,19.63173501351731,-3.268919819980862
232.7,98.30588975304579,61.349574970309746,19.902033281473308,99.45369990112658,19.63173685508767,-3.268919819980862
232.8,98.30592653452467,61.349572033802545,19.90203509803261,99.45369903032292,19.631738696657976,-3.268919819980862
232.9,98.30596331600354,61.34956909729534,19.902036914591864,99.45369815951938,19.63174053822823,-3.268919819980862
233.0,98.30600009748241,61.349566160788136,19.90203873115107,99.45369728871606,19.631742379798425,-3.268919819980862
233.1,98.30603687896128,61.349563224280935,19.90204054771022,99.45369641791291,19.631744221368567,-3.268919819980862
233.2,98.30607366044016,61.34956028777373,19.902042364269338,99.45369554710993,19.631746062938664,-3.268919819980862
233.3,98.30611044191903,61.349557351266526,19.902044180828405,99.45369467630712,19.631747904508707,-3.268919819980862
233.4,98.3061472233979,61.34955441475932,19.90204599738743,99.45369380550454,19.631749746078704,-3.268919819980862
233.5,98.30618400487677,61.34955147825212,19.902047813946407,99.45369293470213,19.631751587648647,-3.268919819980862
233.6,98.30622078635565,61.34954854174491,19.90204963050534,99.4536920638999,19.63175342921854,-3.268919819980862
233.7,98.30625756783452,61.34954560523771,19.902051447064217,99.45369119309782,19.631755270788375,-3.268919819980862
233.8,98.30629434931339,61.3495426687305,19.902053263623053,99.45369032229598,19.631757112358162,-3.268919819980862
233.9,98.30633113079226,61.3495397322233,19.90205508018184,99.45368945149426,19.631758953927893,-3.268919819980862
234.0,98.30636791227114,61.34953679571609,19.90205689674059,99.45368858069276,19.631760795497584,-3.268919819980862
234.1,98.30640469375001,61.34953385920889,19.902058713299283,99.45368770989143,19.63176263706721,-3.268919819980862
234.2,98.30644147522888,61.34953092270168,19.902060529857934,99.45368683909032,19.631764478636793,-3.268919819980862
234.3,98.30647825670776,61.34952798619448,19.902062346416542,99.45368596828934,19.631766320206324,-3.268919819980862
234.4,98.30651503818663,61.34952504968727,19.902064162975094,99.45368509748857,19.631768161775796,-3.268919819980862
